294	BLOCKING STEM DISPENSER (XB800AENF)	Unknown	Refrigerator	0
295	PLINTH (XB800AENF)	Unknown	Refrigerator	0
296	FLAP DISPENSER (XB800AENF)	Unknown	Refrigerator	0
297	PLUG (XB800AENF)	Unknown	Refrigerator	0
298	CHEES MOVABLE SHELF BUSH (XB800AENF)	Bush	Refrigerator	1
299	UPPER BOTTLE LOCK (XB800AENF)	Unknown	Refrigerator	0
300	LOWER BOTTLE LOCK (XB800AENF)	Unknown	Refrigerator	0
301	SUPPORT FLAP(XB800AENF)	Select support	Unknown	1
302	GUIDE DRAWER LEFT XB800AENF	Detergent Drawer	Unknown	1
303	GUIDE RIGHT ICE MAKER XB800AENF	Air guide	Unknown	1
304	DEFROST WATER TRAY XB800AENF	Water collector	Refrigerator	1
305	GUIDE LEFT ICE MAKER XB800AENF	Air guide	Unknown	1
306	GUIDE XB800AENF	Guide	Refrigerator	1
307	DISPENSER MICROSWITCH HOUSING(XB800AENF)	Unknown	Refrigerator	0
308	KNOB ALU POTENTIOMETER	Knob / Button	Oven	1
309	LIGHT DEFLECTION FOLIO XB800AENF	Unknown	Refrigerator	0
310	CARD CONTROL COVER XB800AENF	Control pannel box	Refrigerator	1
311	LAMP COVER XB800AENF	External cover	Refrigerator	1
312	DEFLECTOR AIR	Air guide	Refrigerator	1
313	TRIM (539X23-CRISPER COVER) - PW	External cover	Refrigerator	1
314	KNOB DISC AN C60	Knob / Button	Cooker Hood	1
315	SUPPORT SLIDE RIGHT	Select support	Unknown	1
316	NEON LAMP BRACKET	Bracket / support	Unknown	1
317	WOT EXTENSION MOULDING	Unknown	Freezer	0
318	BLANKING PLUG+HOLE (75X21) - GRAPHITE	Unknown	Unknown	0
319	BOTTOM DRAWER	Drawer	Refrigerator	1
320	CONTROL KNOB	Control pannel box	Refrigerator	1
321	LAMP COVER	External cover	Refrigerator	1
322	PLATE LATCH SUPPORT	Bracket / support	Washing Machine	1
323	SALAD BIN	Unknown	Refrigerator	0
324	SPACER	Spacer	Refrigerator	1
325	BALANCE WEIGHT TOP	Unknown	Washing Machine	0
326	LAMP COVER	External cover	Refrigerator	1
327	LAMP MOULDING	Unknown	Refrigerator	0
328	SHELF TRIM	Unknown	Refrigerator	0
329	CONSOLE PANEL	Panel	Unknown	1
330	CONTROL PANEL-TOP COVER(ELEC-NF)596X55	Control pannel box	Unknown	1
331	CRISPER BOX COMPLETE(WXH 240X146X326)-PW	Electrical box 	Refrigerator	1
332	CONTROLS TRAY GRANIT	Unknown	Refrigerator	0
333	GRAB HANDLE PW-INDESIT	Handle	Refrigerator	1
334	BOTTLE RACK PLAIN	Unknown	Refrigerator	0
335	CONSOLE	Unknown	Unknown	0
336	CONTROL KNOB GOLD	Control pannel box	Cooker Hood	1
337	CONTROL KNOB SHORT SPINDLE	Control pannel box	Cooker Hood	1
338	CONSOLE A1437	Unknown	Washing Machine	0
339	BLANKING PLATE (75X21) - INOX	Unknown	Freezer	0
340	HANDLE, CHROMED	Handle	Washing Machine	1
341	MAIN OVEN SHELF SUPPORT	Select support	Oven	1
342	CONTROL KNOB	Control pannel box	Dishwasher	1
343	ON/OFF SWITCH	Unknown	Dishwasher	0
344	UPPER HINGE FRIDGE DOOR BUSH	Bush	Refrigerator	1
345	ICE CUBE LEVER DISPENSER	Unknown	Unknown	0
346	FRONT PANEL ICEMAKER	Panel	Freezer	1
347	LAMP COVER TRIM	External cover	Refrigerator	1
348	SLIDE RH UPPER DRAWER FREEZER	Drawer	Freezer	1
349	SLIDE LEFT UPPER DRAWER FREEZER	Drawer	Freezer	1
350	CONTROL KNOB ASSY MAIN OVEN - SILVER	Control pannel box	Cooker Hood	1
351	KNOB	Knob / Button	Unknown	1
352	CLOSURE CAP	Unknown	Cooker Hood	0
353	BUTTON ON/OFF	Knob / Button	Washing Machine	1
354	KNOB SELECTOR PROGRAMS	Knob / Button	Washing Machine	1
355	SPIN SPEED PUSHBUTTON WHITE PW ARSF	Unknown	Washing Machine	0
356	PUSHBUTTON GREY ON/OFF USA	Unknown	Washing Machine	0
357	GAS OVEN KNOB INOX EXPERIENCE	Knob / Button	Oven	1
358	NOZZLES SUPPORT D0,86 96PB	Select support	Cooker Hood	1
359	COVER	External cover	Cooker Hood	1
360	GAS KNOB INDESIT BROWN IND 96N	Knob / Button	Cooker Hood	1
361	ICEMAKER DRAWER	Detergent Drawer	Unknown	1
362	GEMMA FRAME	Unknown	Refrigerator	0
363	BUTTON ON-OFF GRANITE	Knob / Button	Unknown	1
364	PUSHBUTTON SILVER ON/OFF ARSF	Unknown	Washing Machine	0
365	CONSOLE BLANKING PLATE WHITE LFS114WH/HA	Unknown	Dishwasher	0
366	INNER PLASTIC FOR DIVIDER 4D	Unknown	Refrigerator	0
367	CRISPER GLASS PROFILE - HUMIDITY CONTROL	Control pannel box	Refrigerator	1
368	COVER PLATE (UPPER-HINGE)	Unknown	Freezer	0
